match_type,nct_id,pmid,doi,article_title
nct_in_article,NCT04830943,37950370,10.1080/17512433.2023.2282715,"The effectiveness of cerebrolysin, a multi-modal neurotrophic factor, for treatment of post-covid-19 persistent olfactory, gustatory and trigeminal chemosensory dysfunctions: a randomized clinical trial."
nct_in_article,NCT05043051,37999672,10.1016/j.jacep.2023.10.015,Noninvasive Vagus Nerve Stimulation in Postural Tachycardia Syndrome: A Randomized Clinical Trial.
nct_in_article,NCT05848518,38102536,10.1186/s12877-023-04544-3,"Effect of different types of supervised exercise programs on cardiorespiratory and muscular fitness, pain, fatigue, mental health and inflammatory and oxidative stress biomarkers in older patients with post-COVID-19 sequelae ""EJerSA-COVID-19"": a randomized controlled trial."
nct_in_article,NCT05047952,38114867,10.1007/s12325-023-02760-2,Impact of Elevated Body Mass Index (BMI) on Hedonic Tone in Persons with Post-COVID-19 Condition: A Secondary Analysis.
nct_in_article,NCT04593225,38127508,10.1037/hea0001346,Effectiveness of an online multicomponent program (FATIGUEWALK) for chronic fatigue syndrome: A randomized controlled trial.
nct_in_article,NCT05234281,38200486,10.1186/s12916-023-03237-3,"First trans-diagnostic experiences with a novel micro-choice based concentrated group rehabilitation for patients with low back pain, long COVID, and type 2 diabetes: a pilot study."
nct_in_article,NCT05228665,38298551,10.1177/27536351241227261,HEART Rate Variability Biofeedback for LOng COVID Dysautonomia (HEARTLOC): Results of a Feasibility Study.
nct_in_article,NCT04920916,38312212,10.1093/ofid/ofad630,Pulmonary Function and Survival 1 Year After Dupilumab Treatment of Acute Moderate to Severe Coronavirus Disease 2019: A Follow-up Study From a Phase 2a Trial.
nct_in_article,NCT05268523,38384879,10.3389/fpubh.2024.1106578,Self-managing symptoms of Long COVID: an education and strategies research protocol.
nct_in_article,NCT04742946,38414563,10.1177/20552076241234432,Digital physiotherapy is a satisfactory and effective method to improve the quality of life in Long COVID patients.
nct_in_article,NCT05047952,38424537,10.1186/s12991-024-00494-1,"Impacts of metabolic disruption, body mass index and inflammation on cognitive function in post-COVID-19 condition: a randomized controlled trial on vortioxetine."
nct_in_article,NCT05047952,38453677,10.1017/s1092852924000099,Impact of Baseline Anxiety on Well-being in People with Post-COVID-19 Condition: A Secondary Analysis.
nct_in_article,NCT05710770,38454468,10.1186/s13063-024-07982-5,"IA-PACS-CFS: a double-blinded, randomized, sham-controlled, exploratory trial of immunoadsorption in patients with chronic fatigue syndrome (CFS) including patients with post-acute COVID-19 CFS (PACS-CFS)."
nct_in_article,NCT05003271,38500051,10.1186/s12890-024-02965-3,Virtual pulmonary rehabilitation approaches in patients with post COVID syndrome: a pilot study.
nct_in_article,NCT05047952,38520501,10.1007/s12325-024-02826-9,"Assessing the Effects of Metabolic Disruption, Body Mass Index and Inflammation on Depressive Symptoms in Post-COVID-19 Condition: A Randomized Controlled Trial on Vortioxetine."
nct_in_article,NCT06137716,38541769,10.3390/jcm13061543,Tackling Post-COVID-19 Rehabilitation Challenges: A Pilot Clinical Trial Investigating the Role of Robotic-Assisted Hand Rehabilitation.
nct_in_article,NCT05445830,38573638,10.1001/jamanetworkopen.2024.4386,Functional Limitations and Exercise Intolerance in Patients With Post-COVID Condition: A Randomized Crossover Clinical Trial.
nct_in_article,NCT04742946,38590093,10.1111/hex.13993,Experiences of people with Long Covid with a digital physiotherapy intervention: A qualitative study.
nct_in_article,NCT05035628,38607276,10.1080/09602011.2024.2338613,"Cardiopulmonary rehabilitation's influence on cognitive functions, psychological state, and sleep quality in long COVID-19 patients: A randomized controlled trial."
nct_in_article,NCT03105713,38625912,10.1371/journal.pone.0299305,Is self-screening for 'at risk of malnutrition' feasible in a home setting?
nct_in_article,NCT05279430,38648998,10.1016/j.amjmed.2024.04.023,Unraveling the Mechanisms Behind Exercise Intolerance and Recovery in Long COVID.
nct_in_article,NCT04510194,38690892,10.1093/cid/ciae159,"Favorable Antiviral Effect of Metformin on SARS-CoV-2 Viral Load in a Randomized, Placebo-Controlled Clinical Trial of COVID-19."
nct_in_article,NCT04794036,38710426,10.1016/j.apmr.2024.04.014,"An Opportunity for Management of Fatigue, Physical Condition, and Quality of Life Through Asynchronous Telerehabilitation in Patients After Acute Coronavirus Disease 2019: A Randomized Controlled Pilot Study."
nct_in_article,NCT05668091,38735354,10.1016/j.amjmed.2024.04.030,"The PAX LC Trial: A Decentralized, Phase 2, Randomized, Double-Blind Study of Nirmatrelvir/Ritonavir Compared with Placebo/Ritonavir for Long COVID."
nct_in_article,NCT05195099,38752418,10.1177/14799731241255967,Effects of a respiratory and neurological rehabilitation treatment plan in post Covid-19 affected university students. Randomized clinical study.
nct_in_article,NCT05205460,38824899,10.1016/j.rehab.2024.101853,Effectiveness of a 12-week telerehabilitation training in people with long COVID: A randomized controlled trial.
nct_in_article,NCT05576662,38848477,10.1001/jamainternmed.2024.2007,Nirmatrelvir-Ritonavir and Symptoms in Adults With Postacute Sequelae of SARS-CoV-2 Infection: The STOP-PASC Randomized Clinical Trial.
nct_in_article,NCT05047952,38860901,10.1080/03007995.2024.2360647,Association between fatigue and depressive symptoms in persons with post-COVID-19 condition: a post hoc analysis.
nct_in_article,NCT04532827,38878337,10.1016/j.jpsychores.2024.111830,Online acceptance and commitment therapy (iACT) for adults with persistent physical symptoms - 3-month follow-up study of a randomized controlled trial.
nct_in_article,NCT05556733,38908733,10.1016/j.cgh.2024.06.004,Fecal Microbiota Transplantation for Sleep Disturbance in Post-acute COVID-19 Syndrome.
nct_in_article,NCT05047952,38954402,10.1080/03007995.2024.2374510,Relationship between anhedonia and psychosocial functioning in post-COVID-19 condition: a post-hoc analysis.
nct_in_article,NCT06108297,39356507,10.1001/jamanetworkopen.2024.36874,Lithium Aspartate for Long COVID Fatigue and Cognitive Dysfunction: A Randomized Clinical Trial.
nct_in_article,NCT05618587,39356507,10.1001/jamanetworkopen.2024.36874,Lithium Aspartate for Long COVID Fatigue and Cognitive Dysfunction: A Randomized Clinical Trial.
nct_in_article,NCT05961462,39363376,10.1186/s13063-024-08473-3,Effects of aerobic training on cardiopulmonary fitness in patients with long COVID-19: a randomized controlled trial.
nct_in_article,NCT05196529,39374820,10.1016/j.resp.2024.104360,Inspiratory muscle training improves autonomic function in myalgic encephalomyelitis/chronic fatigue syndrome and post-acute sequelae of SARS-CoV-2: A pilot study.
nct_in_article,NCT05731570,39434179,10.1186/s13063-024-08554-3,Telehealth-delivered cognitive rehabilitation for people with cognitive impairment as part of the post-COVID syndrome: protocol for a randomised controlled trial as part of the CICERO (Cognitive Impairment in Long COVID: Phenotyping and Rehabilitation) study.
nct_in_article,NCT05725538,39493634,10.1177/20552076241247936,Enhancing exercise intervention for patients with post-acute COVID-19 syndrome using mobile health technology: The COVIDReApp randomised controlled trial protocol.
nct_in_article,NCT06535165,39571342,10.1016/j.clnu.2024.11.023,Beetroot juice intake positively influenced gut microbiota and inflammation but failed to improve functional outcomes in adults with long COVID: A pilot randomized controlled trial.
nct_in_article,NCT06013072,39592468,10.1007/s00394-024-03546-0,"The effects of 3-month supplementation with synbiotic on patient-reported outcomes, exercise tolerance, and brain and muscle metabolism in adult patients with post-COVID-19 chronic fatigue syndrome (STOP-FATIGUE): a randomized Placebo-controlled clinical trial."
nct_in_article,NCT04881318,39614865,10.1016/j.jacep.2024.09.033,A Community-Based Trial of Commercially Available Compression Tights in Patients With Postural Orthostatic Tachycardia Syndrome.
nct_in_article,NCT05273372,39664752,10.3389/fneur.2024.1483876,RESTORE ME: a RCT of oxaloacetate for improving fatigue in patients with myalgic encephalomyelitis/chronic fatigue syndrome.
nct_in_article,NCT05196451,39699896,10.1001/jamanetworkopen.2024.50744,Brief Outpatient Rehabilitation Program for Post-COVID-19 Condition: A Randomized Clinical Trial.
nct_in_article,NCT05597774,39798250,10.1016/j.rehab.2024.101920,Effect of respiratory rehabilitation on quality of life in individuals with post-COVID-19 symptoms: A randomised controlled trial.
nct_in_article,NCT05765591,39905419,10.1186/s12906-025-04784-3,Balneotherapy for the treatment of post-COVID syndrome: a randomized controlled trial.
nct_in_article,NCT05381675,39920519,10.1007/s11845-025-03899-3,"Virtual recovery: efficacy of telerehabilitation on dyspnea, pain, and functional capacity in post-COVID-19 syndrome."
nct_in_article,NCT05445674,39994269,10.1038/s41467-025-57198-7,"Plasma exchange therapy for the post COVID-19 condition: a phase II, double-blind, placebo-controlled, randomized trial."
nct_in_article,NCT05199233,40071827,10.1177/21501319251325639,Using a Wearable Brain Activity Sensing Device in the Treatment of Long COVID Symptoms in an Open-Label Clinical Trial.
nct_in_article,NCT06635928,40120538,10.1016/j.sleep.2025.03.003,Assessing fatigue in myalgic encephalomyelitis/chronic fatigue syndrome patients before and after treatment with bright light therapy: A prospective randomized controlled crossover study.
nct_in_article,NCT05841498,40176165,10.1186/s13063-025-08825-7,Immunoadsorption study Mainz in adults with post-COVID syndrome (IAMPOCO)-a single-blinded sham-controlled crossover trial to evaluate the effect of immunoadsorption on post-COVID syndrome.
nct_in_article,NCT05668091,40188838,10.1016/s1473-3099(25)00073-8,"Nirmatrelvir-ritonavir versus placebo-ritonavir in individuals with long COVID in the USA (PAX LC): a double-blind, randomised, placebo-controlled, phase 2, decentralised trial."
nct_in_article,NCT04842448,40228859,10.1136/bmjopen-2024-094386,"Ten sessions of hyperbaric oxygen versus sham treatment in patients with long covid (HOT-LoCO): a randomised, placebo-controlled, double-blind, phase II trial."
nct_in_article,NCT06063031,40299883,10.1371/journal.pone.0321811,ARACOV-02. Specialized nutritional intervention and telerehabilitation in patients with long COVID: Protocol of a randomized controlled trial.
nct_in_article,NCT04794036,40302157,10.1111/hex.70283,Perceptions and Experiences of a Multimodal Rehabilitation Program for People With Post-Acute COVID-19: A Qualitative Study.
nct_in_article,NCT05676008,40355653,10.1038/s41598-025-96555-w,Awe reduces depressive symptoms and improves well-being in a randomized-controlled clinical trial.
nct_in_article,NCT05445531,40495009,10.1007/s00431-025-06245-y,Light at the end of the tunnel? Follow-up of cardiopulmonary function in children with post-COVID-19.
nct_in_article,NCT06253806,40504522,10.1001/jamaoto.2025.1304,Stellate Ganglion Block for the Treatment of COVID-19-Induced Parosmia: A Randomized Clinical Trial.
nct_in_article,NCT05554107,40588382,10.1136/bmjopen-2024-097057,Assessing symptom improvement in patients with postural orthostatic tachycardia syndrome (POTS) following a 16-week structured exercise programme: a protocol for a randomised cross-over trial in a clinical outpatient setting.
nct_in_article,NCT04652518,40692836,10.1183/23120541.01142-2024,Deupirfenidone (LYT-100) in post-acute sequelae of SARS-CoV-2 with respiratory complications.
nct_in_article,NCT05753202,40702022,10.1038/s41598-025-09772-8,A randomized comparative feasibility study of neuromodulation and cognitive training for post-COVID fatigue.
nct_in_article,NCT05289154,40727709,10.1016/j.imr.2025.101197,Self-medication and off-label prescribing in post COVID-19 syndrome: Baseline data of a randomized acupressure and qigong trial.
nct_in_article,NCT06214455,40730806,10.1038/s41598-025-07461-0,Intermittent fasting and a no-sugar diet for Long COVID symptoms: a randomized crossover trial.
nct_in_article,NCT05576662,40810942,10.1001/jamanetworkopen.2025.26901,Digital Biometric Measures in Long COVID: A Secondary Analysis of the STOP-PASC Randomized Clinical Trial.
nct_in_article,NCT05389592,40848897,10.1016/j.brs.2025.08.018,"Transcranial direct current stimulation plus cognitive training for cognitive symptoms in patients with post-acute sequelae of SARS-CoV-2 infection: A randomized, double-blind, sham-controlled trial."
nct_in_article,NCT06156202,40894014,10.21203/rs.3.rs-7375832/v1,Evaluating a Comprehensive Multimodal Outpatient Rehabilitation Program to Improve the Functioning of Persons Suffering from Post-acute Sequelae of SARS-CoV-2 infection (PASC): A Randomized Controlled Trial.
nct_in_article,NCT04622293,40958377,10.1177/02698811251368371,Solriamfetol improves daily fatigue symptoms in adults with myalgic encephalomyelitis/chronic fatigue syndrome after 8 weeks of treatment.
nct_in_article,NCT06091280,40995943,10.1177/10547738251371244,Inspiratory and Expiratory Muscle Strength Training for Persistent Dyspnea in Post-COVID-19.
nct_in_article,NCT05445830,41030235,10.1002/jcsm.70085,Muscle Abnormalities in Nonhospitalised Patients With Post-COVID-19 Condition.
nct_in_article,NCT03105713,41047253,10.1136/bmjopen-2025-105554,Surgical patients' experiences with the Patients' Safety Checklist (PASC): a qualitative interview study.
nct_in_article,NCT05890599,41130694,10.1136/bmjopen-2025-107840,Yoga versus health education for persistent fatigue in patients with post-COVID-19 syndrome: protocol for a multicentre randomised controlled trial.
nct_in_article,NCT05040893,41132192,10.1002/hsr2.71367,Individually Tailored Physiotherapy in Persons With Respiratory Symptoms Related to Post-Acute Sequelae of COVID-19: A Feasibility Study With Mixed Methods.
nct_in_article,NCT05852873,41199272,10.1186/s13063-025-09226-6,Randomized trial of nirmatrelvir/ritonavir versus placebo for adults with acute COVID-19 to prevent long COVID: PanoramicNOR Trial.
nct_in_article,NCT05965739,41212544,10.1001/jamaneurol.2025.4415,Evaluation of Interventions for Cognitive Symptoms in Long COVID: A Randomized Clinical Trial.
nct_in_article,NCT04900961,41213124,10.1001/jamanetworkopen.2025.34304,Resistance Exercise Therapy After COVID-19 Infection: A Randomized Clinical Trial.
nct_in_article,NCT06156176,41213692,10.1136/bmjopen-2025-102112,Pursuing Reduction in Fatigue After COVID-19 via Exercise and Rehabilitation (PREFACER): a protocol for a randomised feasibility trial.
nct_in_article,NCT05244044,41253410,10.1136/bmjresp-2025-003653,Improved functional exercise capacity after primary care pulmonary rehabilitation in patients with long COVID (PuRe-COVID): a pragmatic randomised controlled trial.
nct_in_article,NCT04705831,41281561,10.3389/fneur.2025.1523814,"Does C1 esterase inhibitor play a role in post COVID-19 neurological symptoms? A randomized, double-blind, placebo-controlled, crossover, proof-of-concept study."
nct_in_article,NCT05675995,41316170,10.1186/s12906-025-05161-w,Experiences with Qi and changes in post-acute sequelae of COVID-19 (PASC) symptoms with qigong: a qualitative analysis of participants' experiences in a pilot clinical trial.
nct_in_article,NCT04881318,41338488,10.1016/j.cjca.2025.11.038,Abdominal-only Compression Garments Reduce Orthostatic Tachycardia and Improve Symptoms in Patients With Postural Orthostatic Tachycardia Syndrome.
nct_in_article,NCT06978582,41373279,10.3390/healthcare13233062,Safety and Effectiveness of an Exercise-Based Telerehabilitation Program in Myalgic Encephalomyelitis and Post COVID Syndrome: Protocol for a Randomized Controlled Clinical Trial.
nct_in_article,NCT05532904,41413915,10.1186/s40359-025-03820-8,"Cognitive behavioral therapy, exercise training, and cognitive remediation for patients with post-COVID-19 condition: protocol of an open-label randomized controlled trial."
nct_in_article,NCT05630378,41415232,10.3389/fpubh.2025.1688592,Integrative multimodal treatment approach for patients suffering from Post-COVID syndrome: a study based on qualitative interviews with individuals participating in an 11-week day clinic program.
nct_in_article,NCT06739720,41558017,10.2196/82633,Effectiveness and Safety of a Supplement Containing a Pharmacologically Active Basidiomycete Mushroom for Chronic Fatigue and Post-COVID-19 Fatigue Syndrome: Protocol for a Randomized Controlled Trial.
nct_in_article,NCT05398692,41588020,10.1038/s41598-025-23760-y,Serum extracellular vesicle RNA profiles in long COVID: insights from exercise-induced gene modulation.
nct_in_article,NCT05682560,41625963,10.1016/j.eclinm.2025.103737,"REGENECYTE cord blood cell therapy in post-COVID syndrome: a phase IIa randomized, placebo-controlled trial."
nct_in_article,NCT07280572,41715140,10.1186/s13063-026-09570-1,The RECLAIM adaptive platform trial for the evaluation of treatments for post-COVID condition in the Netherlands: core protocol.
nct_in_article,NCT06305806,41720282,10.1016/j.ahj.2026.107384,Design and rationale of RECOVER-AUTONOMIC: A randomized platform trial evaluating interventions for Long COVID postural orthostatic tachycardia syndrome.
nct_in_article,NCT06305780,41720282,10.1016/j.ahj.2026.107384,Design and rationale of RECOVER-AUTONOMIC: A randomized platform trial evaluating interventions for Long COVID postural orthostatic tachycardia syndrome.
nct_in_article,NCT06305793,41720282,10.1016/j.ahj.2026.107384,Design and rationale of RECOVER-AUTONOMIC: A randomized platform trial evaluating interventions for Long COVID postural orthostatic tachycardia syndrome.
nct_in_article,NCT05305105,41741501,10.1038/s41598-026-38091-9,Pilot study of psilocybin in patients with post-treatment lyme disease.
nct_in_article,NCT05857124,41768981,10.1016/j.eclinm.2025.103730,Photobiomodulation for cognitive dysfunction (Brain Fog) in post-COVID-19 condition: a randomized double-blind sham-controlled pilot trial.
nct_in_article,NCT05254301,41775918,10.1038/s43856-026-01486-w,Increased physical performance after personalised physiotherapy and nutritional counselling in adults with post-COVID-19 condition: a feasibility randomised trial.
nct_in_article,NCT05234281,41813046,10.1136/bmjopen-2025-105215,Exploring experiences following participation in a concentrated micro-choice-based rehabilitation programme for long covid: a focus group study.
nct_in_article,NCT06128967,41911553,10.7326/annals-25-03959,The Effect of Fluvoxamine and Metformin for Fatigue in Patients With Long COVID : An Adaptive Randomized Trial.
nct_in_article,NCT04977388,42016919,10.1016/j.eclinm.2026.103898,Safety and efficacy of droxidopa for dysautonomia in adults with Menkes disease and occipital horn syndrome in the USA: a randomised phase 1/2a crossover trial.
nct_in_article,NCT05846126,42058732,10.1177/20552076261428205,Addressing persistent symptoms in post-COVID condition: Through a multimodal intervention delivered in two technology-based formats.
nct_in_article,NCT05234281,42061273,10.1016/j.jpsychores.2026.112687,"Improvements in long COVID symptoms, functional level and the impact of illness perceptions after concentrated micro-choice-based rehabilitation: A1-year prospective uncontrolled study."
nct_in_article,NCT05911906,42063202,10.1186/s40814-026-01823-9,"An open-label, clinical feasibility study of the efficacy of Remdesivir for Long-COVID."
nct_in_article,NCT05890534,,10.1101/2025.06.12.25329489,"Effects of Pycnogenol<sup>®</sup>in post-COVID-19 condition (PYCNOVID): A single-center, placebo controlled, quadruple-blind, randomized trial"
nct_in_article,NCT04842448,,10.1101/2022.05.20.22275312,"Hyperbaric Oxygen for Treatment of Long COVID Syndrome (HOT-LoCO); Protocol for a Randomised, Placebo-Controlled, Double-Blind, Phase II Clinical Trial"
nct_in_article,NCT04904536,,10.1101/2025.07.03.25330859,"Statistical analysis plan for the STatin TReatment for COVID-19 to Optimise NeuroloGical recovERy (STRONGER) study: a randomised, open label, controlled trial in subjects with persistent neurological symptoms after COVID-19 infection"
nct_in_article,NCT05668091,,10.1101/2024.11.25.24317941,Demographic Representation of a Decentralized Long COVID Trial: A Comparison with the 2023 National Health Interview Survey
nct_in_article,NCT05228665,,10.1101/2023.09.09.23295208,HEART rate variability biofeedback breathing programme for LOng Covid dysautonomia (HEARTLOC): results of a feasibility study
trial_reference_pmid,NCT05003271,38500051,10.1186/s12890-024-02965-3,Virtual pulmonary rehabilitation approaches in patients with post COVID syndrome: a pilot study.
trial_reference_pmid,NCT06204432,35004126,10.1007/s40521-021-00297-9,Management of post-COVID-19 olfactory dysfunction.
trial_reference_pmid,NCT05323331,33801080,10.3390/life11030259,Exercise Training and Cardiac Rehabilitation in COVID-19 Patients with Cardiovascular Complications: State of Art.
trial_reference_pmid,NCT05234281,38200486,10.1186/s12916-023-03237-3,"First trans-diagnostic experiences with a novel micro-choice based concentrated group rehabilitation for patients with low back pain, long COVID, and type 2 diabetes: a pilot study."
trial_reference_pmid,NCT05234281,41813046,10.1136/bmjopen-2025-105215,Exploring experiences following participation in a concentrated micro-choice-based rehabilitation programme for long covid: a focus group study.
trial_reference_pmid,NCT05965739,41212544,10.1001/jamaneurol.2025.4415,Evaluation of Interventions for Cognitive Symptoms in Long COVID: A Randomized Clinical Trial.
trial_reference_pmid,NCT04828668,36252151,10.1089/can.2022.0135,"A Single-Blind, Randomized, Placebo Controlled Study to Evaluate the Benefits and Safety of Endourage Targeted Wellness Formula C Sublingual +Drops in People with Post-Acute Coronavirus Disease 2019 Syndrome."
trial_reference_pmid,NCT05877534,34390682,10.1016/j.amjmed.2021.07.004,Post-COVID-19 Tachycardia Syndrome: A Distinct Phenotype of Post-Acute COVID-19 Syndrome.
trial_reference_pmid,NCT05445674,39994269,10.1038/s41467-025-57198-7,"Plasma exchange therapy for the post COVID-19 condition: a phase II, double-blind, placebo-controlled, randomized trial."
trial_reference_pmid,NCT04742946,35954922,10.3390/ijerph19159566,The Effectiveness of a Four-Week Digital Physiotherapy Intervention to Improve Functional Capacity and Adherence to Intervention in Patients with Long COVID-19.
trial_reference_pmid,NCT04742946,38414563,10.1177/20552076241234432,Digital physiotherapy is a satisfactory and effective method to improve the quality of life in Long COVID patients.
trial_reference_pmid,NCT04742946,38590093,10.1111/hex.13993,Experiences of people with Long Covid with a digital physiotherapy intervention: A qualitative study.
trial_reference_pmid,NCT05710770,38454468,10.1186/s13063-024-07982-5,"IA-PACS-CFS: a double-blinded, randomized, sham-controlled, exploratory trial of immunoadsorption in patients with chronic fatigue syndrome (CFS) including patients with post-acute COVID-19 CFS (PACS-CFS)."
trial_reference_pmid,NCT05710770,32751659,10.3390/jcm9082443,Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Efficacy of Repeat Immunoadsorption.
